Policy,Category,Indicator,Unit,rank,score
C3_Cancel public events,Environment,CO2 emissions (metric tons per capita),metric tons per capita,94,0.0036853903494623594
C3_Cancel public events,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,95,0.003378190395663929
C3_Cancel public events,Environment,CO2 emissions (kt),kt,96,0.003224093337436043
C3_Cancel public events,Economics,Volume of imports,percent change,97,0.0030977058059876764
C3_Cancel public events,Economics,Unemployment rate (%) - Annual,percent,98,0.0028337117482234893
C3_Cancel public events,Economics,"Trade, total as % of GDP",percent,99,0.0025668682952414224
C3_Cancel public events,Economics,Stock market capitalization (US$ million),percent,100,0.0025101122089499074
C3_Cancel public events,Economics,Stock market capitalization (US$ million),US Dollar,101,0.002056197960902461
C3_Cancel public events,Economics,Starting a Business (Score),Score,102,0.0014414226856740648
C3_Cancel public events,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,103,0.0
C4_Restrictions on gatherings,Governance,Serious assault (rate),rate,1,0.018668571583425383
C4_Restrictions on gatherings,Health,Prevalence of total cancers,percent,2,0.015945885703657632
C4_Restrictions on gatherings,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,3,0.015430847484198693
C4_Restrictions on gatherings,Social issues ,Proportion of women in managerial positions (%),percent,4,0.014564455181164266
C4_Restrictions on gatherings,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,5,0.014454014730701124
C4_Restrictions on gatherings,Social issues ,Net migration,net total / data are 5 year estimates,6,0.014243362619857508
C4_Restrictions on gatherings,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,7,0.01402617304091105
C4_Restrictions on gatherings,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",8,0.013984434775911582
C4_Restrictions on gatherings,Environment,Electricity production from nuclear sources ,percent of total,9,0.013804302581604267
C4_Restrictions on gatherings,Health,Prevalence of Hypertensive heart disease,percent,10,0.013602071969966927
C4_Restrictions on gatherings,Demographics,Age dependency ratio (% of working-age population),proportion,11,0.013591629564661624
C4_Restrictions on gatherings,Governance,Control of corruption estimate,score,12,0.013569293382706866
C4_Restrictions on gatherings,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),13,0.013267797164738625
C4_Restrictions on gatherings,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,14,0.013121567745075877
C4_Restrictions on gatherings,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,15,0.0130791872610724
C4_Restrictions on gatherings,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,16,0.013036814834439149
C4_Restrictions on gatherings,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,17,0.012995947038484293
C4_Restrictions on gatherings,Health,Prevalence of Depressive disorders,percent,18,0.012900272995120744
C4_Restrictions on gatherings,Environment,Electricity production from oil sources,percent of total,19,0.01289184886766015
C4_Restrictions on gatherings,Demographics,"Population, total",total,20,0.012753477751509031
C4_Restrictions on gatherings,Environment,Renewable energy consumption ,percent of total final energy consumption,21,0.012604097990158866
C4_Restrictions on gatherings,Health,Prevalence of obesity,percent,22,0.012424293864803633
C4_Restrictions on gatherings,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",23,0.012331363143485636
C4_Restrictions on gatherings,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,24,0.012179458525251362
C4_Restrictions on gatherings,Demographics,Mobile cellular subscriptions,number,25,0.012152737349972456
C4_Restrictions on gatherings,Health,Prevalence of down syndrome,percent,26,0.012131611080641088
C4_Restrictions on gatherings,Health,Prevalence of anxiety disorders,percent,27,0.012109523992436417
C4_Restrictions on gatherings,Demographics,People using at least basic sanitation services (% of population),proportion,28,0.012037568361937508
C4_Restrictions on gatherings,Health,Prevalence of Diabetes,percent,29,0.011969213243412935
C4_Restrictions on gatherings,Environment,Electricity production from coal sources ,percent of total,30,0.011675069418754163
C4_Restrictions on gatherings,Health,"Immunization, measles (% of children ages 12-23 months)",percent,31,0.011489560231364788
C4_Restrictions on gatherings,Demographics,Urban population (% of total population),total,32,0.011287782634944477
C4_Restrictions on gatherings,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",33,0.011216192913505228
C4_Restrictions on gatherings,Social issues ,Progression to secondary school (%),proportion,34,0.011179838713038496
C4_Restrictions on gatherings,Health,Prevalence of chronic kidney disease,percent,35,0.011169372416565477
C4_Restrictions on gatherings,Health,"Physicians (per 1,000 people)",Ones,36,0.01099253655772097
C4_Restrictions on gatherings,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,37,0.010981763833712774
C4_Restrictions on gatherings,Environment,Combustible renewables and waste,percent of total energy,38,0.010894923007436132
C4_Restrictions on gatherings,Demographics,Individuals using the Internet,percent of population,39,0.01089488280491212
C4_Restrictions on gatherings,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,40,0.010859744534940671
C4_Restrictions on gatherings,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,41,0.010845502410222864
C4_Restrictions on gatherings,Economics,Volume of imports,percent change,42,0.010784206558014204
C4_Restrictions on gatherings,Social issues ,Press freedom score,score,43,0.010762459088137078
C4_Restrictions on gatherings,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,44,0.01064390228658216
C4_Restrictions on gatherings,Environment,CO2 emissions (kt),kt,45,0.01055597492464088
C4_Restrictions on gatherings,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,46,0.010503977056674529
C4_Restrictions on gatherings,Economics,Unemployment rate (%) - Annual,percent,47,0.01043221324817559
C4_Restrictions on gatherings,Economics,"Trade, total as % of GDP",percent,48,0.01029370667079443
C4_Restrictions on gatherings,Economics,"International tourism, receipts",US Dollar,49,0.010253266421681187
C4_Restrictions on gatherings,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",50,0.010211268285476673
C4_Restrictions on gatherings,Economics,Volume of exports,percent change,51,0.01013364867731207
C4_Restrictions on gatherings,Environment,Access to electricity ,percent of population,52,0.00991653712494244
C4_Restrictions on gatherings,Economics,"Central government debt, total",percent of GDP,53,0.009904888585354266
C4_Restrictions on gatherings,Environment,"Energy imports, net ",percent of energy use,54,0.009774813413039062
C4_Restrictions on gatherings,Social issues ,Gini index (World Bank estimate),index ,55,0.009768062648086665
C4_Restrictions on gatherings,Social issues ,Coverage of social safety net programs (% of population),proportion,56,0.009205233358359217
C4_Restrictions on gatherings,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,57,0.009119380384034297
C4_Restrictions on gatherings,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,58,0.009091745646404262
C4_Restrictions on gatherings,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,59,0.00907948686835953
C4_Restrictions on gatherings,Demographics,"Net migration rate, per 1000 population",per thousand persons,60,0.009069134481363686
C4_Restrictions on gatherings,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,61,0.008995073762989749
C4_Restrictions on gatherings,Economics,Expenditure on education (% of GDP),percent,62,0.008886702966929165
C4_Restrictions on gatherings,Demographics,Secure Internet servers ,per 1 million people,63,0.008797304586268675
C4_Restrictions on gatherings,Demographics,Rural population (% of total population),proportion,64,0.008780322951855296
C4_Restrictions on gatherings,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,65,0.008553070735926345
C4_Restrictions on gatherings,Demographics,Refugee population by country or territory of asylum,proportion,66,0.008460769427941219
C4_Restrictions on gatherings,Demographics,People using safely managed drinking water services (% of population),proportion,67,0.008431694652849313
C4_Restrictions on gatherings,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",68,0.00839733937153173
C4_Restrictions on gatherings,Demographics,Mobile cellular (per 100 people),per 100 population,69,0.008137486992143839
C4_Restrictions on gatherings,Governance,Corruption Perceptions Index,score,70,0.008098332771565114
C4_Restrictions on gatherings,Demographics,Internet users (per 100 people),per 100 population,71,0.008070273116429083
C4_Restrictions on gatherings,Demographics,Fixed telephone subscriptions,number,72,0.00793537905998554
